variable,type,IV,n_bins
Bounce_Count_6M,numeric,5.5191,5
Outstanding_Loans,numeric,0.1464,5
Pay_History,categorical,0.1428,3
Delinquency_12M,numeric,0.1108,3
Interest_Rate_Pct,numeric,0.0945,5
No_of_Inquiries_6M,numeric,0.0882,3
Loan_Type,categorical,0.0872,5
Total_Current_Balance,numeric,0.0861,5
Missed_Payment_Count,numeric,0.0762,3
Transaction_Count_3M,numeric,0.075,5
Credit_Utilization_Ratio,numeric,0.0662,5
Marital_Status,categorical,0.0649,3
Education_Level,categorical,0.0645,4
Employment_Years,numeric,0.0628,5
Total_Credit_Limit,numeric,0.0565,5
Avg_Balance_6M,numeric,0.0558,5
No_of_Open_Accounts,numeric,0.052,5
Behavior_Spending_Score,numeric,0.039,5
Savings_Account_Balance,numeric,0.0382,5
Age,numeric,0.0293,5
Credit_History_Length,numeric,0.0276,5
Behavior_Repayment_Score,numeric,0.0217,5
Max_DPD_12M,numeric,0.0211,4
DPD_30,numeric,0.0167,2
DPD_60,numeric,0.0161,2
Income_INR,numeric,0.0144,5
Loan_Amount,numeric,0.0121,5
Credit_Card_Utilization,numeric,0.012,5
Oldest_Trade_Open_Months,numeric,0.01,5
Worst_Current_Status,numeric,0.0073,3
Loan_Tenure_Months,numeric,0.0068,4
EMI_Amount,numeric,0.0031,5
DPD_90,numeric,0.0,1
