variable,coefficient,intercept
Outstanding_Loans_woe,-1.0040073714000979,-0.570764973795547
Pay_History_woe,-0.9207152927443139,-0.570764973795547
Delinquency_12M_woe,-0.31670142754304953,-0.570764973795547
Interest_Rate_Pct_woe,-0.9528241452783436,-0.570764973795547
No_of_Inquiries_6M_woe,-0.9997222817358457,-0.570764973795547
Loan_Type_woe,-0.7976060429585593,-0.570764973795547
Total_Current_Balance_woe,-1.065956459375107,-0.570764973795547
Transaction_Count_3M_woe,-0.9784247115922698,-0.570764973795547
Credit_Utilization_Ratio_woe,-1.0145074482924954,-0.570764973795547
Marital_Status_woe,-0.8004217095407982,-0.570764973795547
Education_Level_woe,-0.6877470422718811,-0.570764973795547
Employment_Years_woe,-0.821297964637212,-0.570764973795547
